2026-07-30 21:05:12 | INFO    | pipeline.phase5_regime | [Phase 5: Regime Detection] Starting...
2026-07-30 21:05:13 | INFO    | pipeline.phase5_regime |     TRENDING_UP: 34730 (31.3%)
2026-07-30 21:05:13 | INFO    | pipeline.phase5_regime |     TRENDING_DOWN: 35499 (32.0%)
2026-07-30 21:05:13 | INFO    | pipeline.phase5_regime |     RANGING: 20964 (18.9%)
2026-07-30 21:05:13 | INFO    | pipeline.phase5_regime |     HIGH_VOLATILITY: 5347 (4.8%)
2026-07-30 21:05:13 | INFO    | pipeline.phase5_regime |     LOW_VOLATILITY: 7959 (7.2%)
2026-07-30 21:05:13 | INFO    | pipeline.phase5_regime |     REVERSAL: 6415 (5.8%)
2026-07-30 21:05:13 | INFO    | pipeline.phase5_regime | [Phase 5: Regime Detection] Completed in 0m 0.8s
2026-07-30 22:14:06 | INFO    | pipeline.phase5_regime | [Phase 5: Regime Detection] Starting...
2026-07-30 22:14:06 | INFO    | pipeline.phase5_regime |     TRENDING_UP: 37797 (34.1%)
2026-07-30 22:14:06 | INFO    | pipeline.phase5_regime |     TRENDING_DOWN: 34070 (30.7%)
2026-07-30 22:14:06 | INFO    | pipeline.phase5_regime |     RANGING: 20138 (18.1%)
2026-07-30 22:14:06 | INFO    | pipeline.phase5_regime |     HIGH_VOLATILITY: 4709 (4.2%)
2026-07-30 22:14:06 | INFO    | pipeline.phase5_regime |     LOW_VOLATILITY: 7685 (6.9%)
2026-07-30 22:14:06 | INFO    | pipeline.phase5_regime |     REVERSAL: 6567 (5.9%)
2026-07-30 22:14:06 | INFO    | pipeline.phase5_regime | [Phase 5: Regime Detection] Completed in 0m 0.3s
